Model,Dataset,MSE,MAE
KNN,train,0.5516148036960722,0.5634146299660853
KNN,test,1.151877871209149,0.8235785457041344
KNN,train,0.5516148036960722,0.5634146299660853,0.5873550310506078
KNN,test,1.151877871209149,0.8235785457041344,0.12097834314639977
